periodo;regiao_ars;ano;mes;ano_mes;estado_ano;episodios_urgencia;prioridade_verde_azul;taxa_internamento;tempo_medio_espera;tipo_agregacao
2016-11-01;Portugal Continental;2016;11;2016-11;parcial;15067.0;39.7225;8.901787;48.78547;nacional
2016-11-02;Portugal Continental;2016;11;2016-11;parcial;17941.0;41.1697;8.100157;56.54435;nacional
2016-11-03;Portugal Continental;2016;11;2016-11;parcial;17449.0;40.85881;8.452868;57.67384;nacional
2016-11-04;Portugal Continental;2016;11;2016-11;parcial;16253.0;40.60996;9.118156;54.10371;nacional
2016-11-05;Portugal Continental;2016;11;2016-11;parcial;14153.0;39.46748;9.564175;44.60065;nacional
2016-11-06;Portugal Continental;2016;11;2016-11;parcial;13510.0;39.48007;8.873552;39.88894;nacional
2016-11-07;Portugal Continental;2016;11;2016-11;parcial;17261.0;40.66352;8.598584;54.66299;nacional
2016-11-08;Portugal Continental;2016;11;2016-11;parcial;16240.0;40.13966;8.838367;48.00844;nacional
2016-11-09;Portugal Continental;2016;11;2016-11;parcial;16191.0;40.04815;8.957138;49.77863;nacional
2016-11-10;Portugal Continental;2016;11;2016-11;parcial;16738.0;39.41785;9.002677;53.43503;nacional
2016-11-11;Portugal Continental;2016;11;2016-11;parcial;15792.0;38.74716;9.051695;53.61649;nacional
2016-11-12;Portugal Continental;2016;11;2016-11;parcial;14844.0;38.95716;9.014147;47.26061;nacional
2016-11-13;Portugal Continental;2016;11;2016-11;parcial;14822.0;38.57519;8.540157;47.1694;nacional
2016-11-14;Portugal Continental;2016;11;2016-11;parcial;19119.0;40.30207;7.861563;60.03159;nacional
2016-11-15;Portugal Continental;2016;11;2016-11;parcial;17560.0;40.68982;8.465476;57.6146;nacional
2016-11-16;Portugal Continental;2016;11;2016-11;parcial;16872.0;40.94414;8.441769;55.25284;nacional
2016-11-17;Portugal Continental;2016;11;2016-11;parcial;17162.0;39.66042;8.4644;58.21106;nacional
2016-11-18;Portugal Continental;2016;11;2016-11;parcial;16018.0;39.54499;9.22337;53.26994;nacional
2016-11-19;Portugal Continental;2016;11;2016-11;parcial;14586.0;39.69954;8.692278;44.00838;nacional
2016-11-20;Portugal Continental;2016;11;2016-11;parcial;14501.0;39.89626;8.512461;44.81315;nacional
2016-11-21;Portugal Continental;2016;11;2016-11;parcial;18549.0;40.82909;7.770291;63.72977;nacional
2016-11-22;Portugal Continental;2016;11;2016-11;parcial;17914.0;41.07761;8.670556;59.74539;nacional
2016-11-23;Portugal Continental;2016;11;2016-11;parcial;17342.0;40.77323;8.764533;58.20954;nacional
2016-11-24;Portugal Continental;2016;11;2016-11;parcial;16518.0;39.38221;8.40101;61.85072;nacional
2016-11-25;Portugal Continental;2016;11;2016-11;parcial;15659.0;39.44028;8.763776;56.78054;nacional
2016-11-26;Portugal Continental;2016;11;2016-11;parcial;15091.0;38.23951;9.896441;51.69221;nacional
2016-11-27;Portugal Continental;2016;11;2016-11;parcial;15475.0;39.57557;7.746839;55.01992;nacional
2016-11-28;Portugal Continental;2016;11;2016-11;parcial;20010.0;40.15193;7.78751;70.24299;nacional
2016-11-29;Portugal Continental;2016;11;2016-11;parcial;18683.0;39.81942;8.713186;72.72624;nacional
2016-11-30;Portugal Continental;2016;11;2016-11;parcial;17541.0;40.63177;9.189857;62.11633;nacional
2016-12-01;Portugal Continental;2016;12;2016-12;parcial;16449.0;40.14273;8.222904;57.71897;nacional
2016-12-02;Portugal Continental;2016;12;2016-12;parcial;18584.0;40.56549;8.282567;75.44713;nacional
2016-12-03;Portugal Continental;2016;12;2016-12;parcial;15677.0;39.82471;8.724638;55.41006;nacional
2016-12-04;Portugal Continental;2016;12;2016-12;parcial;16700.0;39.60942;7.696594;61.19375;nacional
2016-12-05;Portugal Continental;2016;12;2016-12;parcial;21153.0;41.81129;7.590652;82.03045;nacional
2016-12-06;Portugal Continental;2016;12;2016-12;parcial;19781.0;41.01188;8.175315;78.374;nacional
2016-12-07;Portugal Continental;2016;12;2016-12;parcial;18690.0;41.03384;8.674375;66.49257;nacional
2016-12-08;Portugal Continental;2016;12;2016-12;parcial;16635.0;40.95859;7.827803;58.12971;nacional
2016-12-09;Portugal Continental;2016;12;2016-12;parcial;18910.0;40.06204;8.617027;69.75233;nacional
2016-12-10;Portugal Continental;2016;12;2016-12;parcial;16782.0;40.4258;8.792489;61.53142;nacional
2016-12-11;Portugal Continental;2016;12;2016-12;parcial;16668.0;40.7393;7.46983;58.02528;nacional
2016-12-12;Portugal Continental;2016;12;2016-12;parcial;20970.0;40.99094;7.456255;76.65455;nacional
2016-12-13;Portugal Continental;2016;12;2016-12;parcial;19286.0;40.1036;8.064884;73.14321;nacional
2016-12-14;Portugal Continental;2016;12;2016-12;parcial;17914.0;40.80876;8.398951;68.70843;nacional
2016-12-15;Portugal Continental;2016;12;2016-12;parcial;17436.0;39.30531;9.042553;64.58079;nacional
2016-12-16;Portugal Continental;2016;12;2016-12;parcial;16603.0;38.82249;10.14;67.60861;nacional
2016-12-17;Portugal Continental;2016;12;2016-12;parcial;16616.0;37.989;8.142528;57.74921;nacional
2016-12-18;Portugal Continental;2016;12;2016-12;parcial;16783.0;37.67102;7.849897;63.28039;nacional
2016-12-19;Portugal Continental;2016;12;2016-12;parcial;19665.0;40.74114;7.928189;72.90757;nacional
2016-12-20;Portugal Continental;2016;12;2016-12;parcial;18613.0;39.39822;8.398472;70.38014;nacional
2016-12-21;Portugal Continental;2016;12;2016-12;parcial;17608.0;39.07309;9.47249;64.52647;nacional
2016-12-22;Portugal Continental;2016;12;2016-12;parcial;17994.0;38.02636;8.508825;67.38938;nacional
2016-12-23;Portugal Continental;2016;12;2016-12;parcial;17180.0;38.54173;9.22284;58.38986;nacional
2016-12-24;Portugal Continental;2016;12;2016-12;parcial;14042.0;35.31484;9.620853;51.80536;nacional
2016-12-25;Portugal Continental;2016;12;2016-12;parcial;15549.0;35.83481;9.28743;62.99617;nacional
2016-12-26;Portugal Continental;2016;12;2016-12;parcial;22550.0;41.03738;7.802353;103.2009;nacional
2016-12-27;Portugal Continental;2016;12;2016-12;parcial;21954.0;38.88088;8.272188;101.2937;nacional
2016-12-28;Portugal Continental;2016;12;2016-12;parcial;19868.0;40.24934;8.515005;93.15688;nacional
2016-12-29;Portugal Continental;2016;12;2016-12;parcial;18088.0;39.63691;9.531452;84.1333;nacional
2016-12-30;Portugal Continental;2016;12;2016-12;parcial;16712.0;38.10336;10.09622;66.47666;nacional
2016-12-31;Portugal Continental;2016;12;2016-12;parcial;12818.0;34.68146;11.5985;53.89773;nacional
2017-01-01;Portugal Continental;2017;1;2017-01;completo;14504.0;35.39191;10.4422;62.31548;nacional
2017-01-02;Portugal Continental;2017;1;2017-01;completo;18524.0;39.54693;9.263658;90.07124;nacional
2017-01-03;Portugal Continental;2017;1;2017-01;completo;18969.0;38.52213;9.18192;83.49577;nacional
2017-01-04;Portugal Continental;2017;1;2017-01;completo;18531.0;38.1901;9.472662;82.03453;nacional
2017-01-05;Portugal Continental;2017;1;2017-01;completo;17584.0;37.87074;9.43125;72.41553;nacional
2017-01-06;Portugal Continental;2017;1;2017-01;completo;16673.0;38.71355;10.37027;69.70566;nacional
2017-01-07;Portugal Continental;2017;1;2017-01;completo;15222.0;36.96415;10.80942;54.97625;nacional
2017-01-08;Portugal Continental;2017;1;2017-01;completo;14617.0;37.69025;8.883083;50.40502;nacional
2017-01-09;Portugal Continental;2017;1;2017-01;completo;18824.0;40.12013;8.884176;62.31138;nacional
2017-01-10;Portugal Continental;2017;1;2017-01;completo;18286.0;38.53448;9.110169;61.51402;nacional
2017-01-11;Portugal Continental;2017;1;2017-01;completo;17710.0;38.94257;8.882627;56.07756;nacional
2017-01-12;Portugal Continental;2017;1;2017-01;completo;17196.0;39.37837;9.640734;62.11946;nacional
2017-01-13;Portugal Continental;2017;1;2017-01;completo;17059.0;37.50245;10.24484;54.26138;nacional
2017-01-14;Portugal Continental;2017;1;2017-01;completo;14192.0;36.98478;10.24786;43.48928;nacional
2017-01-15;Portugal Continental;2017;1;2017-01;completo;14604.0;37.91261;8.778274;38.60192;nacional
2017-01-16;Portugal Continental;2017;1;2017-01;completo;18563.0;38.9705;8.87806;56.54506;nacional
2017-01-17;Portugal Continental;2017;1;2017-01;completo;17478.0;38.47683;9.505584;49.70665;nacional
2017-01-18;Portugal Continental;2017;1;2017-01;completo;16102.0;38.89034;9.881669;49.46389;nacional
2017-01-19;Portugal Continental;2017;1;2017-01;completo;15808.0;39.62713;9.786674;46.43225;nacional
2017-01-20;Portugal Continental;2017;1;2017-01;completo;15433.0;37.64802;10.47207;47.09198;nacional
2017-01-21;Portugal Continental;2017;1;2017-01;completo;14623.0;38.09764;10.44089;41.38804;nacional
2017-01-22;Portugal Continental;2017;1;2017-01;completo;14595.0;38.05604;8.949327;44.22539;nacional
2017-01-23;Portugal Continental;2017;1;2017-01;completo;19147.0;38.77158;8.627519;55.81615;nacional
2017-01-24;Portugal Continental;2017;1;2017-01;completo;18192.0;39.8947;8.929429;51.55505;nacional
2017-01-25;Portugal Continental;2017;1;2017-01;completo;17350.0;39.20141;9.169309;51.92141;nacional
2017-01-26;Portugal Continental;2017;1;2017-01;completo;16646.0;38.18833;9.714062;47.42229;nacional
2017-01-27;Portugal Continental;2017;1;2017-01;completo;16288.0;38.55048;10.33292;48.26274;nacional
2017-01-28;Portugal Continental;2017;1;2017-01;completo;15577.0;38.17702;9.905493;46.84338;nacional
2017-01-29;Portugal Continental;2017;1;2017-01;completo;15276.0;38.01732;8.353432;46.37241;nacional
2017-01-30;Portugal Continental;2017;1;2017-01;completo;19432.0;39.53224;8.301716;61.93148;nacional
2017-01-31;Portugal Continental;2017;1;2017-01;completo;18141.0;39.17657;8.875273;52.91524;nacional
2017-02-01;Portugal Continental;2017;2;2017-02;completo;17485.0;37.84563;9.498277;52.33047;nacional
2017-02-02;Portugal Continental;2017;2;2017-02;completo;16981.0;39.78601;8.947165;52.73596;nacional
2017-02-03;Portugal Continental;2017;2;2017-02;completo;16009.0;38.41623;9.496825;48.49692;nacional
2017-02-04;Portugal Continental;2017;2;2017-02;completo;14563.0;38.8905;9.716132;38.55903;nacional
2017-02-05;Portugal Continental;2017;2;2017-02;completo;14659.0;38.63276;8.314779;40.42134;nacional
2017-02-06;Portugal Continental;2017;2;2017-02;completo;18936.0;40.87121;8.534225;57.765;nacional
2017-02-07;Portugal Continental;2017;2;2017-02;completo;17899.0;39.79328;8.307278;53.49353;nacional
2017-02-08;Portugal Continental;2017;2;2017-02;completo;17130.0;39.5735;9.190011;47.16163;nacional
2017-02-09;Portugal Continental;2017;2;2017-02;completo;16940.0;39.81081;8.417876;46.69996;nacional
2017-02-10;Portugal Continental;2017;2;2017-02;completo;15965.0;38.62114;9.519561;46.50972;nacional
2017-02-11;Portugal Continental;2017;2;2017-02;completo;14796.0;37.74319;9.607278;41.42548;nacional
2017-02-12;Portugal Continental;2017;2;2017-02;completo;14452.0;38.81335;8.509158;43.1846;nacional
2017-02-13;Portugal Continental;2017;2;2017-02;completo;19016.0;40.37654;8.165516;50.166;nacional
2017-02-14;Portugal Continental;2017;2;2017-02;completo;16661.0;39.91681;8.768064;46.50349;nacional
2017-02-15;Portugal Continental;2017;2;2017-02;completo;18021.0;38.65463;8.776467;52.4678;nacional
2017-02-16;Portugal Continental;2017;2;2017-02;completo;17952.0;39.35107;8.959292;53.15208;nacional
2017-02-17;Portugal Continental;2017;2;2017-02;completo;17293.0;39.23067;9.12254;54.43066;nacional
2017-02-18;Portugal Continental;2017;2;2017-02;completo;15442.0;38.94837;9.140557;42.11895;nacional
2017-02-19;Portugal Continental;2017;2;2017-02;completo;15501.0;39.05975;8.060129;44.15849;nacional
2017-02-20;Portugal Continental;2017;2;2017-02;completo;20023.0;39.8575;7.655028;55.52959;nacional
2017-02-21;Portugal Continental;2017;2;2017-02;completo;18741.0;39.3579;8.348848;54.19473;nacional
2017-02-22;Portugal Continental;2017;2;2017-02;completo;18363.0;39.44949;8.524864;51.5237;nacional
2017-02-23;Portugal Continental;2017;2;2017-02;completo;18075.0;39.56165;8.992351;51.02865;nacional
2017-02-24;Portugal Continental;2017;2;2017-02;completo;16754.0;38.17773;9.099753;49.03549;nacional
2017-02-25;Portugal Continental;2017;2;2017-02;completo;15775.0;37.87587;8.882964;44.0483;nacional
2017-02-26;Portugal Continental;2017;2;2017-02;completo;15169.0;39.10008;8.587075;40.5043;nacional
2017-02-27;Portugal Continental;2017;2;2017-02;completo;18017.0;40.44413;8.982443;52.28783;nacional
2017-02-28;Portugal Continental;2017;2;2017-02;completo;15727.0;40.36197;7.868373;40.05409;nacional
2017-03-01;Portugal Continental;2017;3;2017-03;completo;17587.0;39.67213;8.345883;50.84507;nacional
2017-03-02;Portugal Continental;2017;3;2017-03;completo;17861.0;40.98668;8.618798;53.91277;nacional
2017-03-03;Portugal Continental;2017;3;2017-03;completo;16489.0;38.52839;9.679573;48.85646;nacional
2017-03-04;Portugal Continental;2017;3;2017-03;completo;14864.0;39.32148;9.076786;45.22886;nacional
2017-03-05;Portugal Continental;2017;3;2017-03;completo;15084.0;38.9913;8.055576;38.67653;nacional
2017-03-06;Portugal Continental;2017;3;2017-03;completo;19517.0;40.11312;7.864977;52.3278;nacional
2017-03-07;Portugal Continental;2017;3;2017-03;completo;18454.0;39.11215;8.144931;53.34901;nacional
2017-03-08;Portugal Continental;2017;3;2017-03;completo;17292.0;39.29935;8.407498;46.76716;nacional
2017-03-09;Portugal Continental;2017;3;2017-03;completo;17736.0;39.01218;8.716707;50.51458;nacional
2017-03-10;Portugal Continental;2017;3;2017-03;completo;17265.0;39.3253;8.677996;52.3271;nacional
2017-03-11;Portugal Continental;2017;3;2017-03;completo;15713.0;38.7013;8.867804;40.82973;nacional
2017-03-12;Portugal Continental;2017;3;2017-03;completo;15303.0;40.8735;7.909772;40.60386;nacional
2017-03-13;Portugal Continental;2017;3;2017-03;completo;19567.0;40.37811;7.6524;52.99693;nacional
2017-03-14;Portugal Continental;2017;3;2017-03;completo;18263.0;40.07568;8.191489;49.88306;nacional
2017-03-15;Portugal Continental;2017;3;2017-03;completo;17935.0;39.61967;7.949841;49.59523;nacional
2017-03-16;Portugal Continental;2017;3;2017-03;completo;17855.0;39.72146;8.444607;53.26119;nacional
2017-03-17;Portugal Continental;2017;3;2017-03;completo;17695.0;39.43253;8.798388;52.27417;nacional
2017-03-18;Portugal Continental;2017;3;2017-03;completo;15702.0;38.90223;8.52557;41.82761;nacional
2017-03-19;Portugal Continental;2017;3;2017-03;completo;15231.0;39.38956;8.26937;38.09718;nacional
2017-03-20;Portugal Continental;2017;3;2017-03;completo;19806.0;41.04343;7.392209;53.68041;nacional
2017-03-21;Portugal Continental;2017;3;2017-03;completo;18201.0;40.44189;8.386749;50.49111;nacional
2017-03-22;Portugal Continental;2017;3;2017-03;completo;16810.0;39.78575;8.615464;42.94502;nacional
2017-03-23;Portugal Continental;2017;3;2017-03;completo;16460.0;39.45565;8.409866;41.00443;nacional
2017-03-24;Portugal Continental;2017;3;2017-03;completo;16248.0;39.39316;9.106104;44.64465;nacional
2017-03-25;Portugal Continental;2017;3;2017-03;completo;14368.0;38.97529;9.267092;37.2398;nacional
2017-03-26;Portugal Continental;2017;3;2017-03;completo;13435.0;38.73706;8.878977;36.24228;nacional
2017-03-27;Portugal Continental;2017;3;2017-03;completo;18677.0;41.69353;8.023634;50.10178;nacional
2017-03-28;Portugal Continental;2017;3;2017-03;completo;18026.0;39.85929;8.221497;54.89362;nacional
2017-03-29;Portugal Continental;2017;3;2017-03;completo;17811.0;40.09019;8.171913;50.98172;nacional
2017-03-30;Portugal Continental;2017;3;2017-03;completo;17722.0;39.27855;8.288932;52.91769;nacional
2017-03-31;Portugal Continental;2017;3;2017-03;completo;17071.0;38.59134;8.835759;51.35627;nacional
2017-04-01;Portugal Continental;2017;4;2017-04;completo;14997.0;39.54707;8.766163;43.18338;nacional
2017-04-02;Portugal Continental;2017;4;2017-04;completo;15706.0;38.90186;8.134075;48.50743;nacional
2017-04-03;Portugal Continental;2017;4;2017-04;completo;18951.0;41.04337;7.738647;53.94387;nacional
2017-04-04;Portugal Continental;2017;4;2017-04;completo;17506.0;40.68541;8.766642;51.04542;nacional
2017-04-05;Portugal Continental;2017;4;2017-04;completo;17077.0;39.21725;8.893584;44.81124;nacional
2017-04-06;Portugal Continental;2017;4;2017-04;completo;16733.0;39.07752;8.952998;47.44057;nacional
2017-04-07;Portugal Continental;2017;4;2017-04;completo;16732.0;38.2543;9.457281;46.75657;nacional
2017-04-08;Portugal Continental;2017;4;2017-04;completo;15871.0;39.0107;8.50687;40.85258;nacional
2017-04-09;Portugal Continental;2017;4;2017-04;completo;15836.0;38.69752;7.671844;37.50246;nacional
2017-04-10;Portugal Continental;2017;4;2017-04;completo;18897.0;40.97713;7.758423;54.58984;nacional
2017-04-11;Portugal Continental;2017;4;2017-04;completo;17502.0;39.44066;8.8;49.03798;nacional
2017-04-12;Portugal Continental;2017;4;2017-04;completo;17355.0;39.93608;9.022272;47.54419;nacional
2017-04-13;Portugal Continental;2017;4;2017-04;completo;16934.0;40.3729;9.301428;48.15289;nacional
2017-04-14;Portugal Continental;2017;4;2017-04;completo;16194.0;40.13671;8.593315;42.96884;nacional
2017-04-15;Portugal Continental;2017;4;2017-04;completo;16004.0;39.2632;7.731706;39.46868;nacional
2017-04-16;Portugal Continental;2017;4;2017-04;completo;13387.0;37.26737;8.42706;35.20899;nacional
2017-04-17;Portugal Continental;2017;4;2017-04;completo;18690.0;39.82038;8.256774;49.74467;nacional
2017-04-18;Portugal Continental;2017;4;2017-04;completo;17765.0;41.42252;8.627789;50.31948;nacional
2017-04-19;Portugal Continental;2017;4;2017-04;completo;17682.0;39.06519;7.99752;47.79858;nacional
2017-04-20;Portugal Continental;2017;4;2017-04;completo;17896.0;39.2853;8.447235;54.07142;nacional
2017-04-21;Portugal Continental;2017;4;2017-04;completo;17786.0;40.15442;8.364834;56.21696;nacional
2017-04-22;Portugal Continental;2017;4;2017-04;completo;15706.0;39.10291;8.550559;44.10543;nacional
2017-04-23;Portugal Continental;2017;4;2017-04;completo;15589.0;38.27651;8.001438;44.23055;nacional
2017-04-24;Portugal Continental;2017;4;2017-04;completo;19984.0;41.25697;7.827485;53.79795;nacional
2017-04-25;Portugal Continental;2017;4;2017-04;completo;16125.0;40.60966;8.313008;46.26744;nacional
2017-04-26;Portugal Continental;2017;4;2017-04;completo;18297.0;40.06197;7.696477;52.03642;nacional
2017-04-27;Portugal Continental;2017;4;2017-04;completo;17346.0;39.34148;8.280811;53.65466;nacional
2017-04-28;Portugal Continental;2017;4;2017-04;completo;16823.0;39.60421;8.871916;50.78367;nacional
2017-04-29;Portugal Continental;2017;4;2017-04;completo;15080.0;38.61393;9.034544;44.5649;nacional
2017-04-30;Portugal Continental;2017;4;2017-04;completo;14534.0;39.38626;8.669277;37.41454;nacional
2017-05-01;Portugal Continental;2017;5;2017-05;completo;15769.0;40.79714;8.067215;39.47268;nacional
2017-05-02;Portugal Continental;2017;5;2017-05;completo;18467.0;40.3136;8.214812;55.06779;nacional
2017-05-03;Portugal Continental;2017;5;2017-05;completo;17916.0;40.25337;8.456244;50.04702;nacional
2017-05-04;Portugal Continental;2017;5;2017-05;completo;17665.0;39.55347;8.773561;49.0896;nacional
