periodo;regiao_ars;ano;mes;ano_mes;estado_ano;episodios_urgencia;prioridade_verde_azul;taxa_internamento;tempo_medio_espera;tipo_agregacao
2016-11-01;ARS Alentejo;2016;11;2016-11;parcial;1001.0;39.7541;9.289618;22.05666;regional
2016-11-01;ARS Algarve;2016;11;2016-11;parcial;711.0;36.56821;7.876231;43.90756;regional
2016-11-01;ARS Centro;2016;11;2016-11;parcial;2889.0;34.09002;10.86458;39.27749;regional
2016-11-01;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;5381.0;45.20384;7.940447;62.11897;regional
2016-11-01;ARS Norte;2016;11;2016-11;parcial;5085.0;37.5502;8.893461;44.84052;regional
2016-11-01;Portugal Continental;2016;11;2016-11;parcial;15067.0;39.7225;8.901787;48.78547;nacional
2016-11-02;ARS Alentejo;2016;11;2016-11;parcial;1202.0;41.48681;9.352518;32.34211;regional
2016-11-02;ARS Algarve;2016;11;2016-11;parcial;657.0;37.74734;7.458143;86.7561;regional
2016-11-02;ARS Centro;2016;11;2016-11;parcial;3238.0;35.36242;8.546455;49.31246;regional
2016-11-02;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;6594.0;47.87689;7.510549;66.86861;regional
2016-11-02;ARS Norte;2016;11;2016-11;parcial;6250.0;37.52456;8.372943;51.98307;regional
2016-11-02;Portugal Continental;2016;11;2016-11;parcial;17941.0;41.1697;8.100157;56.54435;nacional
2016-11-03;ARS Alentejo;2016;11;2016-11;parcial;1122.0;40.29126;9.830097;40.71072;regional
2016-11-03;ARS Algarve;2016;11;2016-11;parcial;711.0;38.25598;8.157525;44.46;regional
2016-11-03;ARS Centro;2016;11;2016-11;parcial;3261.0;34.92738;9.141184;61.53701;regional
2016-11-03;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;6291.0;48.25561;7.655332;67.9236;regional
2016-11-03;ARS Norte;2016;11;2016-11;parcial;6064.0;36.8607;8.719851;50.03603;regional
2016-11-03;Portugal Continental;2016;11;2016-11;parcial;17449.0;40.85881;8.452868;57.67384;nacional
2016-11-04;ARS Alentejo;2016;11;2016-11;parcial;1056.0;40.71146;10.01318;41.71788;regional
2016-11-04;ARS Algarve;2016;11;2016-11;parcial;675.0;35.7037;8.296296;45.72753;regional
2016-11-04;ARS Centro;2016;11;2016-11;parcial;3029.0;36.50854;10.59626;55.52612;regional
2016-11-04;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;5957.0;48.36079;8.714559;61.17091;regional
2016-11-04;ARS Norte;2016;11;2016-11;parcial;5536.0;34.78421;8.737864;48.66237;regional
2016-11-04;Portugal Continental;2016;11;2016-11;parcial;16253.0;40.60996;9.118156;54.10371;nacional
2016-11-05;ARS Alentejo;2016;11;2016-11;parcial;921.0;39.14956;10.99707;30.47399;regional
2016-11-05;ARS Algarve;2016;11;2016-11;parcial;624.0;29.96795;11.53846;38.43949;regional
2016-11-05;ARS Centro;2016;11;2016-11;parcial;2638.0;35.9777;9.209454;45.79275;regional
2016-11-05;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;5073.0;45.23305;9.239739;47.75;regional
2016-11-05;ARS Norte;2016;11;2016-11;parcial;4897.0;36.76624;9.58936;43.94658;regional
2016-11-05;Portugal Continental;2016;11;2016-11;parcial;14153.0;39.46748;9.564175;44.60065;nacional
2016-11-06;ARS Alentejo;2016;11;2016-11;parcial;957.0;38.48355;9.298999;30.98017;regional
2016-11-06;ARS Algarve;2016;11;2016-11;parcial;557.0;28.54578;10.72165;32.24026;regional
2016-11-06;ARS Centro;2016;11;2016-11;parcial;2532.0;34.83094;9.535865;40.60477;regional
2016-11-06;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;4813.0;46.3744;8.130257;44.18194;regional
2016-11-06;ARS Norte;2016;11;2016-11;parcial;4651.0;35.87938;9.045226;37.54975;regional
2016-11-06;Portugal Continental;2016;11;2016-11;parcial;13510.0;39.48007;8.873552;39.88894;nacional
2016-11-07;ARS Alentejo;2016;11;2016-11;parcial;1178.0;42.13075;10.89588;40.18797;regional
2016-11-07;ARS Algarve;2016;11;2016-11;parcial;690.0;33.1884;9.593496;51.55014;regional
2016-11-07;ARS Centro;2016;11;2016-11;parcial;3083.0;37.35892;8.110065;58.69682;regional
2016-11-07;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;6370.0;47.06349;8.017635;61.84749;regional
2016-11-07;ARS Norte;2016;11;2016-11;parcial;5940.0;35.93348;9.046729;47.47792;regional
2016-11-07;Portugal Continental;2016;11;2016-11;parcial;17261.0;40.66352;8.598584;54.66299;nacional
2016-11-08;ARS Alentejo;2016;11;2016-11;parcial;1036.0;41.20521;10.59783;30.49333;regional
2016-11-08;ARS Algarve;2016;11;2016-11;parcial;723.0;34.30152;10.09682;63.38372;regional
2016-11-08;ARS Centro;2016;11;2016-11;parcial;2924.0;34.53628;9.714498;43.29471;regional
2016-11-08;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;5818.0;46.83355;8.047572;56.12084;regional
2016-11-08;ARS Norte;2016;11;2016-11;parcial;5739.0;36.97121;8.728653;42.7254;regional
2016-11-08;Portugal Continental;2016;11;2016-11;parcial;16240.0;40.13966;8.838367;48.00844;nacional
2016-11-09;ARS Alentejo;2016;11;2016-11;parcial;1053.0;37.79221;12.07792;44.14247;regional
2016-11-09;ARS Algarve;2016;11;2016-11;parcial;549.0;41.89435;10.69959;43.72908;regional
2016-11-09;ARS Centro;2016;11;2016-11;parcial;2958.0;34.70407;8.90186;48.32448;regional
2016-11-09;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;5714.0;45.18584;8.316355;52.53642;regional
2016-11-09;ARS Norte;2016;11;2016-11;parcial;5917.0;37.56468;9.023805;49.18085;regional
2016-11-09;Portugal Continental;2016;11;2016-11;parcial;16191.0;40.04815;8.957138;49.77863;nacional
2016-11-10;ARS Alentejo;2016;11;2016-11;parcial;1100.0;44.01009;11.97982;37.25201;regional
2016-11-10;ARS Algarve;2016;11;2016-11;parcial;700.0;37.42857;9.854604;57.49448;regional
2016-11-10;ARS Centro;2016;11;2016-11;parcial;3021.0;35.88771;9.513514;49.47426;regional
2016-11-10;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;5984.0;45.2861;8.810902;66.14429;regional
2016-11-10;ARS Norte;2016;11;2016-11;parcial;5933.0;35.08411;8.395107;45.65826;regional
2016-11-10;Portugal Continental;2016;11;2016-11;parcial;16738.0;39.41785;9.002677;53.43503;nacional
2016-11-11;ARS Alentejo;2016;11;2016-11;parcial;1002.0;35.18776;12.29135;35.87603;regional
2016-11-11;ARS Algarve;2016;11;2016-11;parcial;582.0;37.45705;8.075602;53.30769;regional
2016-11-11;ARS Centro;2016;11;2016-11;parcial;2873.0;33.96151;9.41921;51.56466;regional
2016-11-11;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;5544.0;45.08555;8.740026;65.11153;regional
2016-11-11;ARS Norte;2016;11;2016-11;parcial;5791.0;35.30343;8.886368;46.23796;regional
2016-11-11;Portugal Continental;2016;11;2016-11;parcial;15792.0;38.74716;9.051695;53.61649;nacional
2016-11-12;ARS Alentejo;2016;11;2016-11;parcial;982.0;38.10198;9.206799;28.91129;regional
2016-11-12;ARS Algarve;2016;11;2016-11;parcial;631.0;36.60856;10.21505;129.3034;regional
2016-11-12;ARS Centro;2016;11;2016-11;parcial;2744.0;36.1558;9.712937;37.76917;regional
2016-11-12;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;5266.0;43.27763;8.889329;49.72333;regional
2016-11-12;ARS Norte;2016;11;2016-11;parcial;5221.0;36.20892;8.593582;41.43719;regional
2016-11-12;Portugal Continental;2016;11;2016-11;parcial;14844.0;38.95716;9.014147;47.26061;nacional
2016-11-13;ARS Alentejo;2016;11;2016-11;parcial;987.0;40.3338;9.45758;24.08262;regional
2016-11-13;ARS Algarve;2016;11;2016-11;parcial;601.0;33.27787;9.983361;40.05592;regional
2016-11-13;ARS Centro;2016;11;2016-11;parcial;2732.0;35.01075;9.175476;46.38871;regional
2016-11-13;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;5191.0;46.88797;8.152414;46.87527;regional
2016-11-13;ARS Norte;2016;11;2016-11;parcial;5311.0;32.84041;8.272251;51.63892;regional
2016-11-13;Portugal Continental;2016;11;2016-11;parcial;14822.0;38.57519;8.540157;47.1694;nacional
2016-11-14;ARS Alentejo;2016;11;2016-11;parcial;1216.0;42.45881;9.505703;36.52564;regional
2016-11-14;ARS Algarve;2016;11;2016-11;parcial;741.0;34.14305;6.477733;43.83623;regional
2016-11-14;ARS Centro;2016;11;2016-11;parcial;3338.0;35.58731;8.684034;58.45454;regional
2016-11-14;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;6904.0;46.68035;7.509406;74.02996;regional
2016-11-14;ARS Norte;2016;11;2016-11;parcial;6920.0;36.3047;7.798822;51.43406;regional
2016-11-14;Portugal Continental;2016;11;2016-11;parcial;19119.0;40.30207;7.861563;60.03159;nacional
2016-11-15;ARS Alentejo;2016;11;2016-11;parcial;1165.0;45.02488;10.03421;39.26966;regional
2016-11-15;ARS Algarve;2016;11;2016-11;parcial;708.0;37.42938;8.045977;55.27809;regional
2016-11-15;ARS Centro;2016;11;2016-11;parcial;3287.0;35.01754;10.0;46.76482;regional
2016-11-15;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;6408.0;46.5384;7.398334;70.89749;regional
2016-11-15;ARS Norte;2016;11;2016-11;parcial;5992.0;36.9325;8.602351;52.05558;regional
2016-11-15;Portugal Continental;2016;11;2016-11;parcial;17560.0;40.68982;8.465476;57.6146;nacional
2016-11-16;ARS Alentejo;2016;11;2016-11;parcial;1029.0;43.24324;11.6643;39.53533;regional
2016-11-16;ARS Algarve;2016;11;2016-11;parcial;706.0;37.39377;8.498584;40.31025;regional
2016-11-16;ARS Centro;2016;11;2016-11;parcial;3117.0;35.07021;9.406456;55.97617;regional
2016-11-16;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;6199.0;47.97914;6.777109;59.55085;regional
2016-11-16;ARS Norte;2016;11;2016-11;parcial;5821.0;36.31579;9.380428;54.30399;regional
2016-11-16;Portugal Continental;2016;11;2016-11;parcial;16872.0;40.94414;8.441769;55.25284;nacional
2016-11-17;ARS Alentejo;2016;11;2016-11;parcial;1136.0;40.12903;10.06452;38.80952;regional
2016-11-17;ARS Algarve;2016;11;2016-11;parcial;692.0;35.40462;10.17274;57.36932;regional
2016-11-17;ARS Centro;2016;11;2016-11;parcial;3123.0;34.47011;9.303883;57.30301;regional
2016-11-17;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;6233.0;46.9299;8.169762;67.67353;regional
2016-11-17;ARS Norte;2016;11;2016-11;parcial;5978.0;35.37066;7.912333;52.14553;regional
2016-11-17;Portugal Continental;2016;11;2016-11;parcial;17162.0;39.66042;8.4644;58.21106;nacional
2016-11-18;ARS Alentejo;2016;11;2016-11;parcial;1081.0;42.76402;9.517601;37.2569;regional
2016-11-18;ARS Algarve;2016;11;2016-11;parcial;667.0;33.58321;9.10596;43.76901;regional
2016-11-18;ARS Centro;2016;11;2016-11;parcial;3076.0;33.93461;9.465758;53.23455;regional
2016-11-18;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;5784.0;45.64728;8.659754;67.85982;regional
2016-11-18;ARS Norte;2016;11;2016-11;parcial;5410.0;36.50943;9.66457;41.99399;regional
